requirement_id,suggested_domain,secondary_domain,confidence,ambiguous,rationale,score_top1,score_top2
AUR-001,Functional Safety,Cybersecurity,Low,false,"This requirement is classified under Functional Safety because it contains domain-specific indicators such as crash. In this context, these terms are related to fault handling, hazard mitigation, safe-state behavior, ASIL classification, or safety-critical vehicle behavior. The secondary candidate is Cybersecurity, but the similarity gap (0.18) is large enough to keep Functional Safety as the primary recommendation.",0.3292,0.1522
AUR-002,Software,Functional Safety,Low,true,"This requirement is classified under Software because it contains domain-specific indicators such as logging, log. In this context, these terms usually refer to implementation logic, data handling, software updates, logging, or software interfaces. The secondary candidate is Functional Safety, and the similarity gap is small (0.05), so the case is marked as ambiguous.",0.4527,0.4056
AUR-003,Hardware,Functional Safety,High,false,"This requirement is classified under Hardware because it contains domain-specific indicators such as electrical. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Functional Safety, but the similarity gap (0.08) is large enough to keep Hardware as the primary recommendation.",0.2725,0.1901
AUR-004,Hardware,Software,High,false,"This requirement is classified under Hardware because it contains domain-specific indicators such as ecu, connector. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Software, but the similarity gap (0.22) is large enough to keep Hardware as the primary recommendation.",0.4499,0.2267
AUR-005,Cybersecurity,Software,Low,true,"This requirement is classified under Cybersecurity because it contains domain-specific indicators such as security. In this context, these terms indicate protection against unauthorized access, secure execution, authentication, encryption, or cybersecurity controls. The secondary candidate is Software, but the similarity gap (0.09) is large enough to keep Cybersecurity as the primary recommendation.",0.3734,0.2786
AUR-006,Cybersecurity,Testing & Validation,High,false,"This requirement is classified under Cybersecurity because it contains domain-specific indicators such as cryptographic, key. In this context, these terms indicate protection against unauthorized access, secure execution, authentication, encryption, or cybersecurity controls. The secondary candidate is Testing & Validation, but the similarity gap (0.33) is large enough to keep Cybersecurity as the primary recommendation.",0.4129,0.082
AUR-007,System Engineering,Functional Safety,Low,true,"This requirement is classified under System Engineering because it contains domain-specific indicators such as system. In this context, these terms suggest system-level coordination, cross-domain behavior, integration constraints, compatibility, or end-to-end functionality. The secondary candidate is Functional Safety, but the similarity gap (0.08) is large enough to keep System Engineering as the primary recommendation.",0.3286,0.2471
AUR-008,Hardware,Functional Safety,High,false,"This requirement is classified under Hardware because it contains domain-specific indicators such as connector, electrical, plating. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Functional Safety, but the similarity gap (0.29) is large enough to keep Hardware as the primary recommendation.",0.3751,0.082
AUR-009,Hardware,Cybersecurity,High,false,"This requirement is classified under Hardware because it contains domain-specific indicators such as electronic, emc, shielding. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Cybersecurity, but the similarity gap (0.18) is large enough to keep Hardware as the primary recommendation.",0.3676,0.1883
AUR-010,System Engineering,Software,Medium,true,"This requirement is classified under System Engineering because it contains domain-specific indicators such as interface, compatibility, legacy. In this context, these terms suggest system-level coordination, cross-domain behavior, integration constraints, compatibility, or end-to-end functionality. The secondary candidate is Software, and the similarity gap is small (0.04), so the case is marked as ambiguous.",0.5448,0.5093
BLT-101,Hardware,Software,Low,true,"This requirement is classified under Hardware because it contains domain-specific indicators such as ecu. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Software, and the similarity gap is small (0.07), so the case is marked as ambiguous.",0.2898,0.2217
BLT-102,Cybersecurity,Software,High,false,"This requirement is classified under Cybersecurity because it contains domain-specific indicators such as secure, authenticated, secure boot. In this context, these terms indicate protection against unauthorized access, secure execution, authentication, encryption, or cybersecurity controls. The secondary candidate is Software, but the similarity gap (0.44) is large enough to keep Cybersecurity as the primary recommendation.",0.6417,0.2028
BLT-103,Hardware,Software,High,false,"This requirement is classified under Hardware because it contains domain-specific indicators such as hardware, voltage, power, rail. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Software, but the similarity gap (0.12) is large enough to keep Hardware as the primary recommendation.",0.2451,0.1251
BLT-104,Software,Testing & Validation,Low,true,"This requirement is classified under Software because it contains domain-specific indicators such as software, update, ota, validation. In this context, these terms usually refer to implementation logic, data handling, software updates, logging, or software interfaces. The secondary candidate is Testing & Validation, and the similarity gap is small (0.02), so the case is marked as ambiguous.",0.3861,0.3686
COM-9001,Functional Safety,System Engineering,Medium,true,"This requirement is classified under Functional Safety because it contains domain-specific indicators such as safety. In this context, these terms are related to fault handling, hazard mitigation, safe-state behavior, ASIL classification, or safety-critical vehicle behavior. The secondary candidate is System Engineering, but the similarity gap (0.09) is large enough to keep Functional Safety as the primary recommendation.",0.5927,0.5045
COM-9002,Software,Functional Safety,High,false,"This requirement is classified under Software because it contains domain-specific indicators such as software. In this context, these terms usually refer to implementation logic, data handling, software updates, logging, or software interfaces. The secondary candidate is Functional Safety, and the similarity gap is small (0.06), so the case is marked as ambiguous.",0.3276,0.2657
COM-9003,Testing & Validation,Software,Low,false,"The requirement was assigned to Testing & Validation because its overall wording is semantically closest to the Testing & Validation domain description, even though no explicit domain-specific keyword was dominant. The secondary candidate is Software, but the similarity gap (0.13) is large enough to keep Testing & Validation as the primary recommendation.",0.4565,0.3297
COM-9004,Hardware,Functional Safety,High,false,"This requirement is classified under Hardware because it contains domain-specific indicators such as ecu, voltage. In this context, these terms refer to physical components, electrical behavior, power infrastructure, connectors, EMC protection, or hardware-level design. The secondary candidate is Functional Safety, but the similarity gap (0.12) is large enough to keep Hardware as the primary recommendation.",0.376,0.2567
COM-9005,Functional Safety,Software,High,false,"This requirement is classified under Functional Safety because it contains domain-specific indicators such as asil. In this context, these terms are related to fault handling, hazard mitigation, safe-state behavior, ASIL classification, or safety-critical vehicle behavior. The secondary candidate is Software, but the similarity gap (0.42) is large enough to keep Functional Safety as the primary recommendation.",0.5699,0.1545
COM-9006,Cybersecurity,Hardware,Low,true,"This requirement is classified under Cybersecurity because it contains domain-specific indicators such as secure. In this context, these terms indicate protection against unauthorized access, secure execution, authentication, encryption, or cybersecurity controls. The secondary candidate is Hardware, but the similarity gap (0.11) is large enough to keep Cybersecurity as the primary recommendation.",0.4896,0.3787
